source	target	global_count	eligible_blocks	positive_blocks	negative_blocks	neutral_blocks	joint_classes	currier_classes	hands	joint_class_ids	currier_ids	hand_ids	median_log2_enrichment	mean_log2_enrichment	between_block_sd	sign	sign_consistency	tested_blocks	successful_sign_predictions	transfer_fraction	empirical_p	fdr_q	permutations	max_block_observation_fraction	max_block_effect_weight_fraction	status
a	kain	1	0	0	0	0	0	0	0				0	0	0	preferred	0	0	0	0	0.000999000999	1	1000	0	0	INSUFFICIENT_SUPPORT
a	r	1	0	0	0	0	0	0	0				0	0	0	preferred	0	0	0	0	0.000999000999	1	1000	0	0	INSUFFICIENT_SUPPORT
aiiin	al	1	3	0	3	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	-0.7786802423	-1.358998873	1.466985304	depleted	1	3	3	1	0.996003996	1	1000	1	0.7425491295	EXPECTED_FROM_NULL
aiiin	chckhedy	1	3	3	0	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	2.536408836	2.433979531	0.4644879592	preferred	1	3	3	1	0.005199480052	0.2150694022	10000	1	0.3887602861	EXPECTED_FROM_NULL
aiiin	chedy	1	3	0	3	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	-2.507985284	-2.498861279	0.10274096	depleted	1	3	3	1	0.957042957	1	1000	1	0.3463892344	EXPECTED_FROM_NULL
aiiin	chol	1	3	2	1	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	0.2144807407	0.1371787063	0.2523767613	preferred	0.6666666667	3	2	0.6666666667	0.05694305694	0.2523612751	1000	1	0.4875737697	EXPECTED_FROM_NULL
aiiin	d	1	3	3	0	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	1.012733136	1.051346632	0.8568254434	preferred	1	3	3	1	1	1	1000	0	0.6109073072	EXPECTED_FROM_NULL
aiiin	daly	1	3	3	0	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	1.92682602	1.756505705	0.877548432	preferred	1	3	3	1	1	1	1000	0	0.4813361036	EXPECTED_FROM_NULL
aiiin	lchedy	1	3	2	1	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	0.3418635193	0.2322091486	2.360937493	preferred	0.6666666667	3	1	0.3333333333	1	1	1000	0	0.5012747646	EXPECTED_FROM_NULL
aiiin	o	1	3	0	3	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	-0.3951020749	-0.459713354	0.2280442792	depleted	1	3	3	1	0.973026973	1	1000	0	0.5170554611	EXPECTED_FROM_NULL
aiiin	okal	1	3	0	3	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	-0.880528902	-0.7220741963	0.3964102589	depleted	1	3	3	1	0.959040959	1	1000	0	0.4684410576	EXPECTED_FROM_NULL
aiiin	ol	3	3	0	3	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	-2.544214989	-1.974792602	1.580339859	depleted	1	3	3	1	0.7702297702	1	1000	0.5	0.5387083208	EXPECTED_FROM_NULL
aiiin	olkam	1	3	3	0	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	1.92682602	1.877362398	0.5403149213	preferred	1	3	3	1	1	1	1000	1	0.4245752377	EXPECTED_FROM_NULL
aiiin	oteey	1	3	0	3	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	-0.880528902	-0.7666107322	0.2350749958	depleted	1	3	3	1	0.969030969	1	1000	0	0.4013435347	EXPECTED_FROM_NULL
aiiin	qokaiin	2	3	0	3	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	-0.923022783	-1.283237413	1.31231076	depleted	1	3	3	1	1	1	1000	0.5	0.7112319281	EXPECTED_FROM_NULL
aiiin	saiin	1	3	1	2	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	-1.243098981	-0.8079899478	0.888751904	depleted	0.6666666667	3	2	0.6666666667	0.9480519481	1	1000	0	0.4890940033	EXPECTED_FROM_NULL
aiiin	shcthy	1	3	3	0	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	1.92682602	2.002160903	0.5008479739	preferred	1	3	3	1	1	1	1000	1	0.4222785545	EXPECTED_FROM_NULL
aiiin	shey	1	3	1	2	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	-1.164030883	-0.7054963486	2.435644527	depleted	0.6666666667	3	1	0.3333333333	0.9270729271	1	1000	1	0.4822807605	EXPECTED_FROM_NULL
aiiin	ykedy	1	3	3	0	0	3	3	2	2/2,3/2,Y/3	2,3,Y	2,3	1.012733136	1.29700183	1.12455049	preferred	1	3	3	1	0.01079892011	0.2241594022	10000	1	0.6518646251	EXPECTED_FROM_NULL
aiin	aiir	1	18	12	6	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.9152898096	0.9228867809	1.574413335	preferred	0.6666666667	18	12	0.6666666667	0.1478521479	0.3594268599	1000	1	0.1848003153	EXPECTED_FROM_NULL
aiin	al	4	18	7	11	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.5000565045	-0.4777439287	1.364048769	depleted	0.6111111111	18	11	0.6111111111	0.962037962	1	1000	0.25	0.1363048219	EXPECTED_FROM_NULL
aiin	aly	1	18	16	2	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.451027949	1.350421772	1.044981871	preferred	0.8888888889	18	16	0.8888888889	0.08191808192	0.279196459	1000	1	0.1455460421	EXPECTED_FROM_NULL
aiin	ar	2	18	1	17	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-2.236806602	-1.947327806	1.227691155	depleted	0.9444444444	18	17	0.9444444444	0.1628371628	1	1000	0.5	0.09891592979	EXPECTED_FROM_NULL
aiin	arody	1	18	15	3	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.39891524	1.467948284	1.296824368	preferred	0.8333333333	18	15	0.8333333333	0.1118881119	0.3145772868	1000	1	0.1629570415	EXPECTED_FROM_NULL
aiin	chaiin	1	18	14	4	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.39891524	1.195165338	1.329527992	preferred	0.7777777778	18	14	0.7777777778	1	1	1000	1	0.1727745208	EXPECTED_FROM_NULL
aiin	char	3	18	14	4	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.024230612	0.670463485	1.153868066	preferred	0.7777777778	18	14	0.7777777778	1	1	1000	0.3333333333	0.1135946752	EXPECTED_FROM_NULL
aiin	chckhy	1	18	6	12	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.4952905491	-0.5910293691	1.31289695	depleted	0.6666666667	18	12	0.6666666667	0.4945054945	1	1000	1	0.1207042539	EXPECTED_FROM_NULL
aiin	chcthy	2	18	10	8	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.4302969047	0.3700218604	1.237722035	preferred	0.5555555556	18	10	0.5555555556	0.1418581419	0.352386467	1000	0.5	0.1193318344	EXPECTED_FROM_NULL
aiin	chdy	1	18	6	12	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.7066439828	-0.7447974624	1.708392577	depleted	0.6666666667	18	12	0.6666666667	0.5234765235	1	1000	1	0.1298217562	EXPECTED_FROM_NULL
aiin	chear	1	18	14	4	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.9152898096	0.727833341	0.7889102957	preferred	0.7777777778	18	14	0.7777777778	1	1	1000	1	0.1109867353	EXPECTED_FROM_NULL
aiin	chedain	1	18	16	2	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.453388793	1.427005751	0.978841753	preferred	0.8888888889	18	16	0.8888888889	0.06293706294	0.2603305785	1000	1	0.1512552743	EXPECTED_FROM_NULL
aiin	chedy	2	18	4	14	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-2.420316636	-1.350316543	2.132403143	depleted	0.7777777778	18	14	0.7777777778	0.2147852148	1	1000	0.5	0.09456725017	EXPECTED_FROM_NULL
aiin	cheedy	2	18	13	5	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.9152898096	0.9062910255	1.197508853	preferred	0.7222222222	18	13	0.7222222222	0.1748251748	0.3980589886	1000	0.5	0.1886483292	EXPECTED_FROM_NULL
aiin	chees	1	18	13	5	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.8317566386	0.7132477154	0.8862542398	preferred	0.7222222222	18	13	0.7222222222	0.1918081918	0.4229695991	1000	1	0.1440731249	EXPECTED_FROM_NULL
aiin	chekal	1	18	15	3	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.453388793	1.420837345	1.16620554	preferred	0.8333333333	18	15	0.8333333333	0.06693306693	0.2670846395	1000	1	0.1452292992	EXPECTED_FROM_NULL
aiin	cheky	1	18	12	6	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.6254257802	0.4948397354	1.534202675	preferred	0.6666666667	18	12	0.6666666667	0.2007992008	0.4350649351	1000	1	0.1130642739	EXPECTED_FROM_NULL
aiin	cheo	1	18	16	2	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.317768967	1.156676928	0.9179944859	preferred	0.8888888889	18	16	0.8888888889	0.07092907093	0.2670846395	1000	1	0.1260823566	EXPECTED_FROM_NULL
aiin	cheody	1	18	9	9	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.06661422034	0.2863696929	1.6638647	preferred	0.5	18	0	0	1	1	1000	1	0.1912931607	EXPECTED_FROM_NULL
aiin	cheol	1	18	7	11	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.3691324588	-0.3368913911	1.195540343	depleted	0.6111111111	18	11	0.6111111111	0.8441558442	1	1000	1	0.158380541	EXPECTED_FROM_NULL
aiin	ches	1	18	13	5	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.9152898096	0.8307742275	1.008339243	preferred	0.7222222222	18	13	0.7222222222	0.2057942058	0.4392636293	1000	1	0.1608250696	EXPECTED_FROM_NULL
aiin	chey	7	18	3	15	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-1.29626143	-0.8212825137	1.105760206	depleted	0.8333333333	18	15	0.8333333333	0.957042957	1	1000	0.2857142857	0.09245378356	EXPECTED_FROM_NULL
aiin	chky	1	18	14	4	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.453388793	1.271041589	1.441279158	preferred	0.7777777778	18	14	0.7777777778	1	1	1000	1	0.1534708599	EXPECTED_FROM_NULL
aiin	chodaiin	1	18	16	2	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.9152898096	1.027680923	1.125786857	preferred	0.8888888889	18	16	0.8888888889	1	1	1000	1	0.2234182952	EXPECTED_FROM_NULL
aiin	chody	3	18	9	9	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.03587422659	0.2660109321	1.430391192	depleted	0.5	18	0	0	0.988011988	1	1000	0.3333333333	0.2513421559	EXPECTED_FROM_NULL
aiin	chol	2	18	4	14	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-1.228262361	-0.9923398936	1.650149893	depleted	0.7777777778	18	14	0.7777777778	0.7692307692	1	1000	0.5	0.131760447	EXPECTED_FROM_NULL
aiin	chor	2	18	11	7	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.3249420513	0.1010487071	1.768078477	preferred	0.6111111111	18	11	0.6111111111	0.2177822178	0.4569911257	1000	0.5	0.1974097405	EXPECTED_FROM_NULL
aiin	cphey	1	18	18	0	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.50281065	1.515059223	0.6312784286	preferred	1	18	18	1	1	1	1000	1	0.1051978002	EXPECTED_FROM_NULL
aiin	cthar	1	18	17	1	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.453388793	1.433688764	0.8700698074	preferred	0.9444444444	18	17	0.9444444444	1	1	1000	0	0.109960622	EXPECTED_FROM_NULL
aiin	cthy	1	18	12	6	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.9540465351	0.772099612	1.377503693	preferred	0.6666666667	18	12	0.6666666667	1	1	1000	1	0.1210471682	EXPECTED_FROM_NULL
aiin	d	4	18	14	4	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.024230612	0.9563036292	1.062264407	preferred	0.7777777778	18	14	0.7777777778	0.1088911089	0.309015309	1000	0.5	0.1341630272	EXPECTED_FROM_NULL
aiin	daiin	5	18	0	18	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-2.758838846	-2.589479703	0.989338388	depleted	1	18	18	1	0.4455544456	1	1000	0.4	0.1008988131	EXPECTED_FROM_NULL
aiin	dair	1	18	8	10	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.3667716144	0.09236466195	1.199339057	depleted	0.5555555556	18	10	0.5555555556	0.8671328671	1	1000	1	0.09169123216	EXPECTED_FROM_NULL
aiin	dal	4	18	6	12	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.9130647874	-0.699853709	1.09369618	depleted	0.6666666667	18	12	0.6666666667	0.959040959	1	1000	0.5	0.1288866521	EXPECTED_FROM_NULL
aiin	dar	2	18	0	18	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-2.152088436	-1.768972314	0.9391165168	depleted	1	18	18	1	0.3486513487	1	1000	1	0.1002763104	EXPECTED_FROM_NULL
aiin	dl	1	18	15	3	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.207315809	1.017765628	0.9536868166	preferred	0.8333333333	18	15	0.8333333333	0.1088911089	0.309015309	1000	1	0.1270593851	EXPECTED_FROM_NULL
aiin	dor	1	18	11	7	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.6305361921	0.5559250506	1.264569068	preferred	0.6111111111	18	11	0.6111111111	1	1	1000	0	0.144187346	EXPECTED_FROM_NULL
aiin	dy	1	18	2	16	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-1.490171456	-1.262278693	1.185705633	depleted	0.8888888889	18	16	0.8888888889	0.3126873127	1	1000	0	0.1217261492	EXPECTED_FROM_NULL
aiin	lkar	1	18	17	1	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.363502522	1.228646699	0.9210160921	preferred	0.9444444444	18	17	0.9444444444	1	1	1000	1	0.1677013452	EXPECTED_FROM_NULL
aiin	o	3	18	6	12	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.4453654396	-0.4551338617	1.29467908	depleted	0.6666666667	18	12	0.6666666667	0.952047952	1	1000	0.5	0.1285429803	EXPECTED_FROM_NULL
aiin	ockhy	1	18	16	2	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.550518936	1.596944289	1.128705627	preferred	0.8888888889	18	16	0.8888888889	1	1	1000	1	0.1490608533	EXPECTED_FROM_NULL
aiin	octhy	1	18	17	1	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.453388793	1.467948284	1.023806222	preferred	0.9444444444	18	17	0.9444444444	0.1408591409	0.3505428027	1000	1	0.1654815796	EXPECTED_FROM_NULL
aiin	odaiin	1	18	9	9	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.01183405926	0.1505495367	1.301535124	preferred	0.5	18	0	0	1	1	1000	1	0.158984523	EXPECTED_FROM_NULL
aiin	odain	2	18	15	3	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.453388793	1.440980127	1.166368523	preferred	0.8333333333	18	15	0.8333333333	0.03896103896	0.2404809619	1000	0.5	0.1708666845	EXPECTED_FROM_NULL
aiin	odal	2	18	15	3	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.232509431	1.22393065	1.161428237	preferred	0.8333333333	18	15	0.8333333333	0.08791208791	0.2863961814	1000	0.5	0.1147528057	EXPECTED_FROM_NULL
aiin	ody	3	18	13	5	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.7996258654	0.4208771358	1.151888196	preferred	0.7222222222	18	13	0.7222222222	0.07592407592	0.2723688926	1000	0.3333333333	0.09339609066	EXPECTED_FROM_NULL
aiin	okaiin	5	18	4	14	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.9271637175	-0.8735512731	1.077382446	depleted	0.7777777778	18	14	0.7777777778	0.8181818182	1	1000	0.4	0.1096183853	EXPECTED_FROM_NULL
aiin	okain	4	18	12	6	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.8083656682	0.3830272477	1.322456265	preferred	0.6666666667	18	12	0.6666666667	0.1158841159	0.3195592287	1000	0.75	0.120548803	EXPECTED_FROM_NULL
aiin	okal	6	18	7	11	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.2199225752	-0.2611106356	1.214993686	depleted	0.6111111111	18	11	0.6111111111	1	1	1000	0.3333333333	0.1433465535	EXPECTED_FROM_NULL
aiin	okar	2	18	8	10	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.3105527297	-0.3454872887	1.501401673	depleted	0.5555555556	18	10	0.5555555556	0.6193806194	1	1000	0.5	0.1272609252	EXPECTED_FROM_NULL
aiin	okary	1	18	16	2	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.451027949	1.379894812	0.9282057338	preferred	0.8888888889	18	16	0.8888888889	1	1	1000	1	0.1110791774	EXPECTED_FROM_NULL
aiin	okedal	1	18	17	1	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.503577986	1.617087072	1.022042155	preferred	0.9444444444	18	17	0.9444444444	1	1	1000	1	0.1315332555	EXPECTED_FROM_NULL
aiin	okeedy	3	18	9	9	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.2963684266	0.4208771358	1.593368762	preferred	0.5	18	0	0	0.03796203796	0.2404809619	1000	0.3333333333	0.1626847928	EXPECTED_FROM_NULL
aiin	okees	1	18	14	4	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.403756991	1.230099056	1.282934939	preferred	0.7777777778	18	14	0.7777777778	1	1	1000	1	0.1487149599	EXPECTED_FROM_NULL
aiin	okeey	1	18	8	10	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.1400314513	0.22041374	1.308715938	depleted	0.5555555556	18	10	0.5555555556	0.6373626374	1	1000	1	0.1244852823	EXPECTED_FROM_NULL
aiin	okeody	1	18	13	5	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.453388793	1.2447304	1.32430439	preferred	0.7222222222	18	13	0.7222222222	1	1	1000	0	0.1693461229	EXPECTED_FROM_NULL
aiin	okeol	1	18	16	2	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.448547042	1.139936258	0.9914638613	preferred	0.8888888889	18	16	0.8888888889	0.1138861139	0.3172541744	1000	1	0.09696775803	EXPECTED_FROM_NULL
aiin	okey	2	18	14	4	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.448547042	0.992906796	1.073074495	preferred	0.7777777778	18	14	0.7777777778	0.1158841159	0.3195592287	1000	0.5	0.1046354706	EXPECTED_FROM_NULL
aiin	okody	1	18	17	1	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.503577986	1.596944289	1.191509404	preferred	0.9444444444	18	17	0.9444444444	1	1	1000	1	0.1421052643	EXPECTED_FROM_NULL
aiin	okol	2	18	12	6	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.4211646751	0.5045667747	0.9880398762	preferred	0.6666666667	18	12	0.6666666667	0.02397602398	0.2241594022	1000	0.5	0.1936990896	EXPECTED_FROM_NULL
aiin	okor	2	18	16	2	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.41077348	1.19445761	0.9297479195	preferred	0.8888888889	18	16	0.8888888889	1	1	1000	0.5	0.1185292369	EXPECTED_FROM_NULL
aiin	oky	2	18	5	13	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.5817089994	-0.4658681981	0.9713758863	depleted	0.7222222222	18	13	0.7222222222	0.9260739261	1	1000	0.5	0.1114732244	EXPECTED_FROM_NULL
aiin	ol	7	18	3	15	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-1.834190131	-1.513567914	1.26853578	depleted	0.8333333333	18	15	0.8333333333	0.7042957043	1	1000	0.2857142857	0.11004672	EXPECTED_FROM_NULL
aiin	olkaiin	1	18	13	5	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.8241775975	0.7690319436	1.16967556	preferred	0.7222222222	18	13	0.7222222222	1	1	1000	1	0.1990151717	EXPECTED_FROM_NULL
aiin	olkal	1	18	18	0	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.453388793	1.526528717	0.9091548266	preferred	1	18	18	1	0.1458541459	0.3567937439	1000	1	0.1443335395	EXPECTED_FROM_NULL
aiin	olkeedy	1	18	12	6	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.9152898096	0.7690319436	1.222892851	preferred	0.6666666667	18	12	0.6666666667	1	1	1000	1	0.1889192925	EXPECTED_FROM_NULL
aiin	olor	1	18	13	5	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.13468377	1.011597222	1.203635271	preferred	0.7222222222	18	13	0.7222222222	0.04095904096	0.2404809619	1000	1	0.1791280898	EXPECTED_FROM_NULL
aiin	oly	2	18	15	3	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.9152898096	0.7830063196	0.8748804378	preferred	0.8333333333	18	15	0.8333333333	0.1608391608	0.3795081323	1000	0.5	0.1103520526	EXPECTED_FROM_NULL
aiin	opchdy	1	18	14	4	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.9152898096	0.8840535729	1.233484086	preferred	0.7777777778	18	14	0.7777777778	1	1	1000	1	0.1826074335	EXPECTED_FROM_NULL
aiin	opchedy	2	18	14	4	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	1.207315809	0.9716807159	1.147524564	preferred	0.7777777778	18	14	0.7777777778	1	1	1000	0.5	0.1770680448	EXPECTED_FROM_NULL
aiin	or	1	18	0	18	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-2.564573052	-2.462032018	0.8720965113	depleted	1	18	18	1	0.1268731269	1	1000	1	0.08544104324	EXPECTED_FROM_NULL
aiin	otaiin	3	18	7	11	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	-0.5460180441	-0.1782519286	1.245600077	depleted	0.6111111111	18	11	0.6111111111	0.4515484515	1	1000	0.3333333333	0.1055213493	EXPECTED_FROM_NULL
aiin	otain	1	18	12	6	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.8241775975	0.4976359396	1.199182462	preferred	0.6666666667	18	12	0.6666666667	1	1	1000	1	0.1080907148	EXPECTED_FROM_NULL
aiin	otam	1	18	10	8	0	8	7	4	1/1,2/2,3/2,3/4,4/1,5/3,X/3,Y/3	1,2,3,4,5,X,Y	1,2,3,4	0.2161411721	0.2615108609	1.062998695	preferred	0.5555555556	18	10	0.5555555556	0.2137862138	0.4520808394	1000	1	0.145348223	EXPECTED_FROM_NULL
