block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
G0/generic#0	G0	generic	G0/generic	x000052	x002364	6	0	0	6	648	0.001557632399	0.0005192107996	3	1.584962501	preferred
G2/generic#0	G2	generic	G2/generic	x000052	x002364	10	0	0	10	676	0.001538461538	0.0005045408678	3.049230769	1.608445339	preferred
G0/generic#1	G0	generic	G0/generic	x000052	x002364	6	1	0	6	667	0.001557632399	0.001527494908	1.01973001	0.02818722647	preferred
G0/generic#2	G0	generic	G0/generic	x000052	x002364	5	0	0	5	745	0.0015625	0.0004716981132	3.3125	1.727920455	preferred
G1/generic#2	G1	generic	G1/generic	x000052	x002364	6	0	0	6	681	0.001557632399	0.0005020080321	3.102803738	1.633572445	preferred
G2/generic#2	G2	generic	G2/generic	x000052	x002364	6	0	0	6	685	0.001557632399	0.0005	3.115264798	1.639354798	preferred
G3/generic#2	G3	generic	G3/generic	x000052	x002364	6	1	0	6	719	0.001557632399	0.001450676983	1.073727934	0.1026284825	preferred
G0/generic#3	G0	generic	G0/generic	x000052	x002364	7	0	0	7	812	0.001552795031	0.0004436557232	3.5	1.807354922	preferred
G2/generic#3	G2	generic	G2/generic	x000052	x002364	6	1	0	6	719	0.001557632399	0.001450676983	1.073727934	0.1026284825	preferred
G0/generic#4	G0	generic	G0/generic	x000052	x002364	6	0	0	6	684	0.001557632399	0.0005005005005	3.112149533	1.637911381	preferred
G2/generic#4	G2	generic	G2/generic	x000052	x002364	7	0	0	7	636	0.001552795031	0.0005257623554	2.953416149	1.562384653	preferred
G3/generic#4	G3	generic	G3/generic	x000052	x002364	5	0	0	5	636	0.0015625	0.0005257623554	2.971875	1.571373436	preferred
G1/generic#5	G1	generic	G1/generic	x000052	x002364	8	0	0	8	607	0.001547987616	0.0005422993492	2.854489164	1.513232586	preferred
G0/generic#6	G0	generic	G0/generic	x000052	x002364	5	0	0	5	744	0.0015625	0.0004721435316	3.309375	1.726558779	preferred
G3/generic#6	G3	generic	G3/generic	x000052	x002364	5	0	0	5	592	0.0015625	0.0005512679162	2.834375	1.503030646	preferred
G1/generic#7	G1	generic	G1/generic	x000052	x002364	9	0	0	9	710	0.001543209877	0.000487804878	3.163580247	1.661558192	preferred
G0/generic#10	G0	generic	G0/generic	x000052	x002364	5	0	0	5	629	0.0015625	0.0005296610169	2.95	1.560714954	preferred
G0/generic#12	G0	generic	G0/generic	x000052	x002364	5	0	0	5	698	0.0015625	0.0004935834156	3.165625	1.662490364	preferred
G3/generic#12	G3	generic	G3/generic	x000052	x002364	5	0	0	5	844	0.0015625	0.0004314063848	3.621875	1.856736756	preferred
G0/generic#14	G0	generic	G0/generic	x000052	x002364	7	0	0	7	805	0.001552795031	0.0004464285714	3.47826087	1.798366139	preferred
